,Time,LBA,PBA,Ops,Zone-idx,WA_1,WA_2
134,363.258001,10957,20077,w,0,19588,20612.
135,363.258213,56269,44341,w,0,-1,-1
136,363.258245,41285,10613,w,0,-1,-1
137,363.258290,34285,62101,w,0,61604,62628.
138,363.258473,27494,49838,w,0,49336,50360.
139,363.258663,7599,13983,w,0,13484,14508.
140,363.258848,16726,30406,w,0,29899,30923.
141,363.259033,47859,25707,w,0,-1,-1
142,363.259086,63675,60835,w,0,-1,-1
143,363.259141,50798,32054,w,0,-1,-1
144,363.259191,13801,25201,w,0,24711,25735.
145,363.259382,52581,36109,w,0,-1,-1
146,363.259429,26771,48659,w,0,48188,49212.
147,363.259615,20898,37770,w,0,37225,38249.
148,363.259802,39043,5531,w,0,-1,-1
149,363.259855,22786,41482,w,0,41012,42036.
150,363.260040,64597,62893,w,0,-1,-1
151,363.260072,37387,2171,w,0,-1,-1
152,363.260117,43532,15700,w,0,-1,-1
153,363.260149,10930,20050,w,0,19566,20590.
154,363.260331,63869,61597,w,0,-1,-1
155,363.260363,64577,62873,w,0,-1,-1
156,363.260407,50907,32163,w,0,-1,-1
157,363.260451,48719,27703,w,0,-1,-1
158,363.260495,65094,64526,w,0,-1,-1
159,363.260547,48659,27075,w,0,-1,-1
160,363.260594,47418,24698,w,0,-1,-1
161,363.260641,49731,29851,w,0,-1,-1
162,363.260689,42129,12593,w,0,-1,-1
163,363.260738,10517,19181,w,0,18667,19691.
164,363.260928,39868,7492,w,0,-1,-1
165,363.260972,33372,60276,w,0,59735,60759.
166,363.261216,1290,2658,w,0,2171,3195.
167,363.261402,7996,14836,w,0,14371,15395.
168,363.261593,6987,12915,w,0,12425,13449.
169,363.261779,48397,26813,w,0,-1,-1
170,363.261832,30395,55019,w,0,54505,55529.
171,363.262029,31599,57135,w,0,56608,57632.
172,363.262261,25712,46688,w,0,46202,47226.
173,363.262443,5979,10995,w,0,10480,11504.
174,363.262623,44120,17424,w,0,-1,-1
175,363.262656,55653,43157,w,0,-1,-1
176,363.262692,48242,26658,w,0,-1,-1
177,363.262728,8350,15190,w,0,14655,15679.
178,363.262908,22494,40734,w,0,40210,41234.
179,363.263090,48847,27831,w,0,-1,-1
180,363.263123,27078,48966,w,0,48434,49458.
181,363.263302,15870,28638,w,0,28076,29100.
182,363.263482,57651,47427,w,0,-1,-1
183,363.263514,3011,5747,w,0,5257,6281.
